key,registration-moment,passenger-email,description,type,indicator,key:assistance-agent,key:leg,draft-mode
claim-07,2012/07/02 0:00,"a@b.esx","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","FLIGHT_ISSUES",PENDING,assistance-agent-01,leg-11,true
claim-08,2012/07/02 0:00,"lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","FLIGHT_ISSUES","PENDING",assistance-agent-01,leg-11,true
claim-10,2012/07/02 0:00,"lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","FLIGHT_ISSUES","PENDING",assistance-agent-01,leg-11,true
# passengerEmail - no singular values
# description - standard variations
claim-11,2012/07/02 0:00,"acme@lorem-ipsum.org","L","FLIGHT_ISSUES",PENDING,assistance-agent-01,leg-11,true
claim-12,2012/07/02 0:00,"acme@lorem-ipsum.org","Lo","FLIGHT_ISSUES",PENDING,assistance-agent-01,leg-11,true
claim-13,2012/07/02 0:00,"acme@lorem-ipsum.org","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor","FLIGHT_ISSUES",PENDING,assistance-agent-01,leg-11,true
claim-14,2012/07/02 0:00,"acme@lorem-ipsum.org","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*","FLIGHT_ISSUES",PENDING,assistance-agent-01,leg-11,true
claim-15,2012/07/02 0:00,"acme@lorem-ipsum.org","โลเร็ม อิปซัม","FLIGHT_ISSUES",PENDING,assistance-agent-01,leg-11,true
claim-16,2012/07/02 0:00,"acme@lorem-ipsum.org","لوريم إيبسوم","FLIGHT_ISSUES",PENDING,assistance-agent-01,leg-11,true
claim-17,2012/07/02 0:00,"acme@lorem-ipsum.org","洛伦·伊普森","FLIGHT_ISSUES",PENDING,assistance-agent-01,leg-11,true
claim-18,2012/07/02 0:00,"acme@lorem-ipsum.org","<marquee>Hacked</marquee>","FLIGHT_ISSUES",PENDING,assistance-agent-01,leg-11,true
claim-19,2012/07/02 0:00,"acme@lorem-ipsum.org","<script>alert(‘Hacked!’)</script>","FLIGHT_ISSUES",PENDING,assistance-agent-01,leg-11,true
claim-20,2012/07/02 0:00,"acme@lorem-ipsum.org","' or 'A' = 'A ","FLIGHT_ISSUES",PENDING,assistance-agent-01,leg-11,true
# description - no singular values
# type - standard variations
claim-21,2012/07/02 0:00,"acme@lorem-ipsum.org","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! U*","LUGGAGE_ISSUES",PENDING,assistance-agent-01,leg-11,true
claim-22,2012/07/02 0:00,"acme@lorem-ipsum.org","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! U*","SECURITY_INCIDENT",PENDING,assistance-agent-01,leg-11,true
claim-23,2012/07/02 0:00,"acme@lorem-ipsum.org","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! U*","OTHER_ISSUES",PENDING,assistance-agent-01,leg-11,true
# type - no singular values
# assistanceAgent - standard variations
claim-24,2012/07/02 0:00,"acme@lorem-ipsum.org","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! U*","FLIGHT_ISSUES",PENDING,assistance-agent-02,leg-11,true
# assistanceAgent - no singular values
# leg - standard variations
claim-25,2012/07/02 0:00,"acme@lorem-ipsum.org","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! U*","FLIGHT_ISSUES",PENDING,assistance-agent-01,leg-10,true
# leg - no singular values
# indicator - standard variations
claim-26,2012/07/02 0:00,"acme@lorem-ipsum.org","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! U*","FLIGHT_ISSUES",ACCEPTED,assistance-agent-01,leg-11,false
claim-27,2012/07/02 0:00,"acme@lorem-ipsum.org","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! U*","FLIGHT_ISSUES",ACCEPTED,assistance-agent-01,leg-11,false
claim-28,2012/07/02 0:00,"acme@lorem-ipsum.org","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! U*","FLIGHT_ISSUES",REJECTED,assistance-agent-01,leg-11,false
# indicator - no singular values
#draftMode - standard variations
claim-29,2012/07/02 0:00,"acme@lorem-ipsum.org","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! U*","FLIGHT_ISSUES",REJECTED,assistance-agent-01,leg-11,false
#draftMode - no singular values
